,Date,State,Unemployment Rate (S),1-Month Net Change,1-Month % Change
119,2019-12-01,Connecticut,3.8,0.0,0.0
120,2020-01-01,Connecticut,3.7,-0.1,-2.6
121,2020-02-01,Connecticut,3.8,0.1,2.7
122,2020-03-01,Connecticut,3.4,-0.4,-10.5
123,2020-04-01,Connecticut,8.3,4.9,144.1
124,2020-05-01,Connecticut,9.6,1.3,15.7
125,2020-06-01,Connecticut,9.8,0.2,2.1
126,2019-01-01,Delaware,3.5,0.0,0.0
127,2019-02-01,Delaware,3.5,0.0,0.0
128,2019-03-01,Delaware,3.6,0.1,2.9
129,2019-04-01,Delaware,3.6,0.0,0.0
130,2019-05-01,Delaware,3.7,0.1,2.8
131,2019-06-01,Delaware,3.7,0.0,0.0
132,2019-07-01,Delaware,3.8,0.1,2.7
133,2019-08-01,Delaware,3.9,0.1,2.6
134,2019-09-01,Delaware,3.9,0.0,0.0
135,2019-10-01,Delaware,4.0,0.1,2.6
136,2019-11-01,Delaware,4.0,0.0,0.0
137,2019-12-01,Delaware,4.0,0.0,0.0
138,2020-01-01,Delaware,4.0,0.0,0.0
139,2020-02-01,Delaware,3.9,-0.1,-2.5
140,2020-03-01,Delaware,5.0,1.1,28.2
141,2020-04-01,Delaware,14.9,9.9,198.0
142,2020-05-01,Delaware,15.9,1.0,6.7
143,2020-06-01,Delaware,12.5,-3.4,-21.4
144,2019-01-01,District of Columbia,5.8,0.1,1.8
145,2019-02-01,District of Columbia,5.8,0.0,0.0
146,2019-03-01,District of Columbia,5.7,-0.1,-1.7
147,2019-04-01,District of Columbia,5.6,-0.1,-1.8
148,2019-05-01,District of Columbia,5.5,-0.1,-1.8
149,2019-06-01,District of Columbia,5.4,-0.1,-1.8
150,2019-07-01,District of Columbia,5.4,0.0,0.0
151,2019-08-01,District of Columbia,5.3,-0.1,-1.9
152,2019-09-01,District of Columbia,5.3,0.0,0.0
153,2019-10-01,District of Columbia,5.3,0.0,0.0
154,2019-11-01,District of Columbia,5.3,0.0,0.0
155,2019-12-01,District of Columbia,5.3,0.0,0.0
156,2020-01-01,District of Columbia,5.2,-0.1,-1.9
157,2020-02-01,District of Columbia,5.1,-0.1,-1.9
158,2020-03-01,District of Columbia,6.0,0.9,17.6
159,2020-04-01,District of Columbia,11.7,5.7,95.0
160,2020-05-01,District of Columbia,8.8,-2.9,-24.8
161,2020-06-01,District of Columbia,8.6,-0.2,-2.3
162,2019-01-01,Florida,3.4,0.0,0.0
163,2019-02-01,Florida,3.4,0.0,0.0
164,2019-03-01,Florida,3.4,0.0,0.0
165,2019-04-01,Florida,3.3,-0.1,-2.9
166,2019-05-01,Florida,3.2,-0.1,-3.0
167,2019-06-01,Florida,3.2,0.0,0.0
168,2019-07-01,Florida,3.1,-0.1,-3.1
169,2019-08-01,Florida,3.0,-0.1,-3.2
170,2019-09-01,Florida,2.9,-0.1,-3.3
171,2019-10-01,Florida,2.9,0.0,0.0
172,2019-11-01,Florida,2.8,-0.1,-3.4
173,2019-12-01,Florida,2.9,0.1,3.6
